id,predicted_price
2591820310,369374.72
7974200820,842053.06
7701450110,1096401.6
9522300010,1852404.1
9510861140,716527.25
1761300310,244452.0
7732410120,781569.25
7010701383,618052.7
291310170,424970.7
4232901990,567258.06
6840701125,636947.94
3971700580,423211.75
4202400078,239034.19
6064800090,359214.06
2626119028,244212.69
3303980660,1045034.06
862000020,837683.06
2386000070,921245.0
1138000450,366751.94
1775800420,465438.94
2291401425,409048.62
2025770560,857637.3
3525069037,668104.8
9324800450,534954.9
8080400136,532579.2
8651540040,511986.84
9407001790,249714.53
1773101530,200717.86
9432900250,339365.06
1794500695,661110.06
2220069003,343760.56
923000120,505086.66
5728000060,541550.4
16000200,257668.14
1926059094,430838.0
6672900220,1048187.1
3629860060,841372.4
1822069109,417936.66
6675500105,370788.22
249000180,1936264.4
226059065,480582.4
396100110,259689.56
9264450460,323324.16
7853361210,373233.7
9474700020,284441.03
421000455,262469.47
3755200220,415948.53
7960100075,480104.16
9477100490,427179.53
9138100350,807211.5
1624049275,455085.2
2770606890,501007.9
1157200189,390766.44
2770601800,568894.75
9301300805,552891.8
2325069032,1151019.6
1021079099,339365.4
7215730040,742408.56
1853200080,441419.88
3224600340,681262.56
3222049120,409880.78
2113700025,309075.5
7893207925,208344.69
3586501085,563972.5
8024200010,356671.94
7116500705,175628.98
1598600209,306586.6
7204200025,833865.1
4206901505,603255.44
2937300440,912036.5
7205000180,349272.6
8718500665,364537.66
5318101765,959782.2
4122700020,930234.1
8078700020,502925.62
3303980680,942168.44
8924100372,1209362.5
2781270210,208358.8
519000043,533848.44
3225069301,1540869.5
151000075,744713.9
2297400020,431528.0
6617500085,707322.25
104510180,244157.03
3528900060,1007843.25
3345100286,526020.1
1226039130,424306.53
8712100720,782040.5
3037200010,389538.94
3626039268,419468.8
104510230,243841.73
5112800060,395834.84
6072400280,641741.56
5317100570,1160320.5
9528102993,512859.66
2919201095,531767.1
6181400920,253968.19
185000161,233430.38
8691400010,768336.8
3345700165,538919.75
6151800486,218146.1
4340000080,1260985.9
4136960010,518060.53
3634100030,316014.8
1624059224,1043560.06
2788400090,252215.14
9828200762,449892.66
7524400250,552232.06
3528000290,737128.6
5700003630,1973322.5
2720069019,289733.22
7227501170,234302.2
2397101270,618218.9
6792100090,739971.3
2770602265,544947.44
3971700937,274907.03
422049203,220057.8
3076500830,260569.25
1423400260,294992.75
9161100795,495345.25
3126049052,512837.16
5100401468,380620.5
514500235,419500.0
1423200170,193286.53
1402100070,403448.4
624110020,706741.7
2407000145,191105.55
1890000225,846896.44
1320069271,325080.94
5490700085,344287.47
263000155,457124.78
3726800201,439344.75
5153200358,290974.03
2725079018,793229.4
7165700200,255227.12
9429000170,616553.8
8718500075,368564.34
1760650950,316637.75
1068000559,1227425.9
4113800500,658900.1
4077800507,520764.66
2725069150,727593.0
4008400035,687458.9
7016310270,439447.0
1432701230,219901.72
3278606050,366445.34
2473350710,385570.56
2185000685,137938.95
7792000025,372775.88
6868200029,477032.6
624069003,735600.5
7431500280,812884.06
3296000040,559089.1
1118001215,1591617.5
6453900040,678776.1
333100209,785254.06
34001765,612896.8
8946700100,380731.6
5561401210,557059.25
6671900095,375250.56
3275850020,743134.6
3876300600,405035.97
1450900020,269949.5
8562780280,315467.1
7663700973,312334.3
2126049032,357855.6
1823059159,181362.1
3438503426,307934.25
9297301495,511477.84
